abk|ab|Abkhazian|??|??|??
ace|??|Achinese|??|??|??
ach|??|Acoli|??|??|??
ada|??|Adangme|??|??|??
ady|??|"Adyghe| Adygei"|??|??|??
﻿aar|aa|Afar|??|??|??
afh|??|Afrihili|??|??|??
afr|af|Afrikaans|??|??|??
afa|??|Afro-Asiatic languages|??|??|??
ain|??|Ainu|??|??|??
aka|ak|Akan|Akan|245|0.00007
akk|??|Akkadian|??|??|??
alb|sq|Albanian|??|??|??
ale|??|Aleut|??|??|??
alg|??|Algonquian languages|??|??|??
tut|??|Altaic languages|??|??|??
amh|am|Amharic|??|??|??
anp|??|Angika|??|??|??
apa|??|Apache languages|??|??|??
ara|ar|Arabic|Arabic|16100000|4.6
arg|an|Aragonese|??|??|??
arp|??|Arapaho|??|??|??
arw|??|Arawak|??|??|??
arm|hy|Armenian|??|??|??
rup|??|"Aromanian| Arumanian| Macedo-Romanian"|??|??|??
art|??|Artificial languages|??|??|??
asm|as|Assamese|Assamese|35000|0.01
ast|??|"Asturian| Bable| Leonese| Asturleonese"|??|??|??
ath|??|Athapascan languages|??|??|??
aus|??|Australian languages|??|??|??
map|??|Austronesian languages|??|??|??
ava|av|Avaric|??|??|??
ave|ae|Avestan|??|??|??
awa|??|Awadhi|??|??|??
aym|ay|Aymara|??|??|??
aze|az|Azerbaijani|??|??|??
ban|??|Balinese|??|??|??
bat|??|Baltic languages|??|??|??
bal|??|Baluchi|??|??|??
bam|bm|Bambara|Bambara|140|0.00004
bai|??|Bamileke languages|??|??|??
bad|??|Banda languages|??|??|??
bnt|??|Bantu languages|??|??|??
bas|??|Basa|??|??|??
bak|ba|Bashkir|??|??|??
baq|eu|Basque|Basque|525000|0.15
btk|??|Batak languages|??|??|??
bej|??|"Beja| Bedawiyet"|??|??|??
bel|be|Belarusian|??|??|??
bem|??|Bemba|??|??|??
ben|bn|Bengali|Bengali|1750000|0.50
ber|??|Berber languages|??|??|??
bho|??|Bhojpuri|??|??|??
bih|bh|Bihari languages|??|??|??
bik|??|Bikol|??|??|??
bin|??|"Bini| Edo"|??|??|??
bis|bi|Bislama|??|??|??
byn|??|"Blin| Bilin"|??|??|??
zbl|??|"Blissymbols| Blissymbolics| Bliss"|??|??|??
nob|nb|"Bokmål, Norwegian| Norwegian Bokmål"|??|??|??
bos|bs|Bosnian|??|??|??
bra|??|Braj|??|??|??
bre|br|Breton|??|??|??
bug|??|Buginese|??|??|??
bul|bg|Bulgarian|??|??|??
bua|??|Buriat|??|??|??
bur|my|Burmese|??|??|??
cad|??|Caddo|??|??|??
cat|ca|"Catalan| Valencian"|Catalan|3850000|1.1
cau|??|Caucasian languages|??|??|??
ceb|??|Cebuano|??|??|??
cel|??|Celtic languages|??|??|??
cai|??|Central American Indian languages|??|??|??
khm|km|Central Khmer|??|??|??
chg|??|Chagatai|??|??|??
cmc|??|Chamic languages|??|??|??
cha|ch|Chamorro|??|??|??
che|ce|Chechen|??|??|??
chr|??|Cherokee|??|??|??
chy|??|Cheyenne|??|??|??
chb|??|Chibcha|??|??|??
nya|ny|"Chichewa| Chewa| Nyanja"|Chi Chewa|350|0.0001
chi|zh|Chinese|Chinese|56875000|16.25
chn|??|Chinook jargon|??|??|??
chp|??|"Chipewyan| Dene Suline"|??|??|??
cho|??|Choctaw|??|??|??
chu|cu|"Church Slavic| Old Slavonic| Church Slavonic| Old Bulgarian| Old Church Slavonic"|??|??|??
chk|??|Chuukese|??|??|??
chv|cv|Chuvash|??|??|??
nwc|??|"Classical Newari| Old Newari| Classical Nepal Bhasa"|??|??|??
syc|??|Classical Syriac|??|??|??
cop|??|Coptic|??|??|??
cor|kw|Cornish|??|??|??
cos|co|Corsican|??|??|??
mus|??|Creek|??|??|??
cre|cr|Cree|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??
crp|??|Creoles and pidgins|??|??|??
crh|??|"Crimean Tatar| Crimean Turkish"|??|??|??
