aar|aa|Afar|??|??|??
abk|ab|Abkhazian|??|??|??
ave|ae|Avestan|??|??|??
afr|af|Afrikaans|af|5461216|0.00280%
aka|ak|Akan|??|??|??
amh|am|Amharic|??|??|??
arg|an|Aragonese|??|??|??
ara|ar|Arabic|ar|60839973|0.03114%
asm|as|Assamese|??|??|??
ava|av|Avaric|??|??|??
aym|ay|Aymara|??|??|??
aze|az|Azerbaijani|az|2496202|0.00128%
bak|ba|Bashkir|??|??|??
bel|be|Belarusian|be|533405|0.00027%
bul|bg|Bulgarian|bg|5919807|0.00303%
bih|bh|Bihari languages|bh|48094|0.00002%
bis|bi|Bislama|??|??|??
bam|bm|Bambara|??|??|??
ben|bn|Bengali|bn|3003033|0.00154%
tib|bo|Tibetan|??|??|??
bre|br|Breton|??|??|??
bos|bs|Bosnian|bs|13160941|0.00674%
cat|ca|Catalan; Valencian|ca|35126650|0.01798%
che|ce|Chechen|??|??|??
ceb|??|Cebuano|ceb|1329456|0.00068%
cha|ch|Chamorro|??|??|??
chr|??|Cherokee|chr|2315|0.00000%
cos|co|Corsican|??|??|??
cre|cr|Cree|??|??|??
cze|cs|Czech|cs|139918438|0.07161%
chu|cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|??|??|??
chv|cv|Chuvash|??|??|??
wel|cy|Welsh|cy|3459671|0.00177%
dan|da|Danish|da|221551540|0.11339%
ger|de|German|de|2870869396|1.46937%
div|dv|Divehi; Dhivehi; Maldivian|dv|112819|0.00006%
dzo|dz|Dzongkha|??|??|??
ewe|ee|Ewe|??|??|??
gre|el|Greek, Modern (1453-)|el|61607673|0.03153%
eng|en|English|en|181014683608|92.64708%
epo|eo|Esperanto|??|??|??
spa|es|Spanish; Castilian|es|1510070974|0.77289%
est|et|Estonian|et|20718080|0.01060%
baq|eu|Basque|eu|1048905|0.00054%
per|fa|Persian|fa|16731301|0.00856%
ful|ff|Fulah|??|??|??
fin|fi|Finnish|fi|221644679|0.11344%
fij|fj|Fijian|??|??|??
fao|fo|Faroese|??|??|??
fre|fr|French|fr|3553061536|1.81853%
fry|fy|Western Frisian|??|??|??
gle|ga|Irish|ga|2878943|0.00147%
gla|gd|Gaelic; Scottish Gaelic|gd|841970|0.00043%
glg|gl|Galician|gl|6947527|0.00356%
grn|gn|Guarani|??|??|??
guj|gu|Gujarati|gu|494798|0.00025%
glv|gv|Manx|??|??|??
hau|ha|Hausa|??|??|??
