??|??|Bengali Romanized|-|166000|0,9980587756813
??|??|Hindi Romanized|-|2045,000|0,012295362628122
??|??|Urdu Romanized|-|245000|1,47303855446939
??|??|Telugu Romanized|-|37000|0,222458883736193
??|??|Tamil Romanized|-|40000|0,240496090525614
??|??|Unassigned|-|503000|3,0242383383596
??|??|Arabic Romanized|-|685000|4,11849555025115
abk|ab|Abkhazian|??|??|??
ace|??|Achinese|??|??|??
ach|??|Acoli|??|??|??
ada|??|Adangme|??|??|??
ady|??|Adyghe; Adygei|??|??|??
afa|??|Afro-Asiatic languages|??|??|??
afh|??|Afrihili|??|??|??
afr|af|Afrikaans|af|819000|4,92415745351196
ain|??|Ainu|??|??|??
aka|ak|Akan|??|??|??
akk|??|Akkadian|??|??|??
alb|sq|Albanian|sq|2382,000|0,0143215421908003
ale|??|Aleut|??|??|??
alg|??|Algonquian languages|??|??|??
alt|??|Southern Altai|??|??|??
amh|am|Amharic|am|169000|1,01609598247072
ang|??|English, Old (ca.450-1100)|??|??|??
anp|??|Angika|??|??|??
apa|??|Apache languages|??|??|??
ara|ar|Arabic|ar|12249,000|0,0736459153212063
arc|??|Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|??|??|??
arg|an|Aragonese|??|??|??
arm|hy|Armenian|hy|1261,000|0,00758163925381999
arn|??|Mapudungun; Mapuche|??|??|??
arp|??|Arapaho|??|??|??
art|??|Artificial languages|??|??|??
arw|??|Arawak|??|??|??
asm|as|Assamese|as|17000|0,102210838473386
ast|??|Asturian; Bable; Leonese; Asturleonese|??|??|??
ath|??|Athapascan languages|??|??|??
aus|??|Australian languages|??|??|??
ava|av|Avaric|??|??|??
ave|ae|Avestan|??|??|??
awa|??|Awadhi|??|??|??
aym|ay|Aymara|??|??|??
aze|az|Azerbaijani|az|1904,000|0,0114476139090192
bad|??|Banda languages|??|??|??
bai|??|Bamileke languages|??|??|??
bak|ba|Bashkir|??|??|??
bal|??|Baluchi|??|??|??
bam|bm|Bambara|bm|6000|0,0360744135788422
ban|??|Balinese|??|??|??
baq|eu|Basque|eu|105000|0,631302237629738
bas|??|Basa|??|??|??
bat|??|Baltic languages|??|??|??
bej|??|Beja; Bedawiyet|??|??|??
bel|be|Belarusian|be|1004,000|0,00603645187219292
bem|??|Bemba|??|??|??
ben|bn|Bengali|bn|1627,000|0,00978217848212937
ber|??|Berber languages|??|??|??
bho|??|Bhojpuri|??|??|??
bih|bh|Bihari languages|??|??|??
bik|??|Bikol|??|??|??
bin|??|Bini; Edo|??|??|??
bis|bi|Bislama|??|??|??
bla|??|Siksika|??|??|??
bnt|??|Bantu languages|??|??|??
bos|bs|Bosnian|bs|950000|5,71178214998334
bra|??|Braj|??|??|??
bre|br|Breton|br|57000|0,342706928999001
btk|??|Batak languages|??|??|??
bua|??|Buriat|??|??|??
bug|??|Buginese|??|??|??
bul|bg|Bulgarian|bg|9704,000|0,0583443515615141
bur|my|Burmese|my|101000|0,607252628577176
byn|??|Blin; Bilin|??|??|??
cad|??|Caddo|??|??|??
cai|??|Central American Indian languages|??|??|??
car|??|Galibi Carib|??|??|??
cat|ca|Catalan; Valencian|ca|7076,000|0,0425437584139812
cau|??|Caucasian languages|??|??|??
ceb|??|Cebuano|??|??|??
cel|??|Celtic languages|??|??|??
cha|ch|Chamorro|??|??|??
chb|??|Chibcha|??|??|??
che|ce|Chechen|??|??|??
chg|??|Chagatai|??|??|??
chi|zh|Chinese|zh|132770,000|0,798266648477146
chk|??|Chuukese|??|??|??
chm|??|Mari|??|??|??
chn|??|Chinook jargon|??|??|??
cho|??|Choctaw|??|??|??
chp|??|Chipewyan; Dene Suline|??|??|??
chr|??|Cherokee|??|??|??
chu|cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|??|??|??
chv|cv|Chuvash|??|??|??
chy|??|Cheyenne|??|??|??
cmc|??|Chamic languages|??|??|??
cnr|??|Montenegrin|??|??|??
cop|??|Coptic|??|??|??
cor|kw|Cornish|??|??|??
cos|co|Corsican|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??
cre|cr|Cree|??|??|??
crh|??|Crimean Tatar; Crimean Turkish|??|??|??
crp|??|Creoles and pidgins|??|??|??
csb|??|Kashubian|??|??|??
cus|??|Cushitic languages|??|??|??
cze|cs|Czech|cs|8616,000|0,0518028578992173
dak|??|Dakota|??|??|??
dan|da|Danish|da|16274,000|0,0978458344303462
dar|??|Dargwa|??|??|??
day|??|Land Dayak languages|??|??|??
del|??|Delaware|??|??|??
den|??|Slave (Athapascan)|??|??|??
dgr|??|Dogrib|??|??|??
din|??|Dinka|??|??|??
div|dv|Divehi; Dhivehi; Maldivian|??|??|??
doi|??|Dogri|??|??|??
dra|??|Dravidian languages|??|??|??
dsb|??|Lower Sorbian|??|??|??
dua|??|Duala|??|??|??
dum|??|Dutch, Middle (ca.1050-1350)|??|??|??
dut|nl|Dutch; Flemish|nl|17163,000|0,103190860042278
dyu|??|Dyula|??|??|??
dzo|dz|Dzongkha|??|??|??
efi|??|Efik|??|??|??
egy|??|Egyptian (Ancient)|??|??|??
eka|??|Ekajuk|??|??|??
elx|??|Elamite|??|??|??
eng|en|English|en|803527,000|4,83112755329438
enm|??|English, Middle (1100-1500)|??|??|??
epo|eo|Esperanto|eo|47000|0,282582906367597
est|et|Estonian|et|3287,000|0,0197627662389424
ewe|ee|Ewe|??|??|??
ewo|??|Ewondo|??|??|??
fan|??|Fang|??|??|??
fao|fo|Faroese|??|??|??
fat|??|Fanti|??|??|??
fij|fj|Fijian|??|??|??
fil|??|Filipino; Pilipino|??|??|??
fin|fi|Finnish|fi|16804,000|0,101032407629811
fiu|??|Finno-Ugrian languages|??|??|??
fon|??|Fon|??|??|??
fre|fr|French|fr|77420,000|0,465480183212327
frm|??|French, Middle (ca.1400-1600)|??|??|??
fro|??|French, Old (842-ca.1400)|??|??|??
frr|??|Northern Frisian|??|??|??
frs|??|Eastern Frisian|??|??|??
fry|fy|Western Frisian|fy|12000|0,0721488271576843
ful|ff|Fulah|ff|11000|0,066136424894544
fur|??|Friulian|??|??|??
gaa|??|Ga|??|??|??
gay|??|Gayo|??|??|??
gba|??|Gbaya|??|??|??
gem|??|Germanic languages|??|??|??
geo|ka|Georgian|ka|1261,000|0,00758163925381999
ger|de|German|de|89224,000|0,536450579526436
gez|??|Geez|??|??|??
gil|??|Gilbertese|??|??|??
gla|gd|Gaelic; Scottish Gaelic|gd|19000|0,114235642999667
gle|ga|Irish|ga|49000|0,294607710893878
glg|gl|Galician|gl|137000|0,823699110050229
glv|gv|Manx|??|??|??
gmh|??|German, Middle High (ca.1050-1500)|??|??|??
goh|??|German, Old High (ca.750-1050)|??|??|??
gon|??|Gondi|??|??|??
gor|??|Gorontalo|??|??|??
got|??|Gothic|??|??|??
grb|??|Grebo|??|??|??
grc|??|Greek, Ancient (to 1453)|??|??|??
gre|el|Greek, Modern (1453-)|el|28762,000|0,172928713892443
grn|gn|Guarani|gn|10000|0,0601240226314036
gsw|??|Swiss German; Alemannic; Alsatian|??|??|??
guj|gu|Gujarati|gu|327000|1,9660555400469
gwi|??|Gwich'in|??|??|??
hai|??|Haida|??|??|??
hat|ht|Haitian; Haitian Creole|ht|87000|0,523078996893211
hau|ha|Hausa|ha|124000|0,745537880629405
haw|??|Hawaiian|??|??|??
heb|he|Hebrew|he|8637,000|0,0519291183467433
her|hz|Herero|??|??|??
hil|??|Hiligaynon|??|??|??
him|??|Himachali languages; Western Pahari languages|??|??|??
hin|hi|Hindi|hi|3448,000|0,020730763003308
hit|??|Hittite|??|??|??
hmn|??|Hmong; Mong|??|??|??
hmo|ho|Hiri Motu|??|??|??
hrv|hr|Croatian|hr|14455,000|0,0869092747136939
hsb|??|Upper Sorbian|??|??|??
hun|hu|Hungarian|hu|22718,000|0,136589754614023
