??|??|??|Bengali Romanized|77000|0.0260935307359765
??|??|??|Hindi Romanized|88000|0.0298211779839732
??|??|??|Tamil Romanized|36000|0.0121995728116254
??|??|??|Telugu Romanized|39000|0.0132162038792608
??|??|??|Urdu Romanized|85000|0.0288045469163377
abk|ab|Abkhazian|??|??|??
ace|??|Achinese|??|??|??
ach|??|Acoli|??|??|??
ada|??|Adangme|??|??|??
ady|??|Adyghe; Adygei|??|??|??
afa|??|Afro-Asiatic languages|??|??|??
afh|??|Afrihili|??|??|??
afr|af|Afrikaans|Afrikaans|242000|0.0820082394559262
ain|??|Ainu|??|??|??
aka|ak|Akan|??|??|??
akk|??|Akkadian|??|??|??
alb|sq|Albanian|Albanian|918000|0.311089106696447
ale|??|Aleut|??|??|??
alg|??|Algonquian languages|??|??|??
alt|??|Southern Altai|??|??|??
amh|am|Amharic|Amharic|68000|0.0230436375330702
ang|??|English, Old (ca.450-1100)|??|??|??
anp|??|Angika|??|??|??
apa|??|Apache languages|??|??|??
ara|ar|Arabic|Arabic|2869000|0.972238177682034
arc|??|Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|??|??|??
arg|an|Aragonese|??|??|??
arm|hy|Armenian|Armenian|421000|0.142667226491508
arn|??|Mapudungun; Mapuche|??|??|??
arp|??|Arapaho|??|??|??
art|??|Artificial languages|??|??|??
arw|??|Arawak|??|??|??
asm|as|Assamese|Assamese|5000|0.00169438511272575
ast|??|Asturian; Bable; Leonese; Asturleonese|??|??|??
ath|??|Athapascan languages|??|??|??
aus|??|Australian languages|??|??|??
ava|av|Avaric|??|??|??
ave|ae|Avestan|??|??|??
awa|??|Awadhi|??|??|??
aym|ay|Aymara|??|??|??
aze|az|Azerbaijani|Azerbaijani|783000|0.265340708652852
bad|??|Banda languages|??|??|??
bai|??|Bamileke languages|??|??|??
bak|ba|Bashkir|??|??|??
bal|??|Baluchi|??|??|??
bam|bm|Bambara|??|??|??
ban|??|Balinese|??|??|??
baq|eu|Basque|Basque|270000|0.0914967960871903
bas|??|Basa|??|??|??
bat|??|Baltic languages|??|??|??
bej|??|Beja; Bedawiyet|??|??|??
bel|be|Belarusian|Belarusian|362000|0.122673482161344
bem|??|Bemba|??|??|??
ben|bn|Bengali|Bengali|525000|0.177910436836203
ber|??|Berber languages|??|??|??
bho|??|Bhojpuri|??|??|??
bih|bh|Bihari languages|??|??|??
bik|??|Bikol|??|??|??
bin|??|Bini; Edo|??|??|??
bis|bi|Bislama|??|??|??
bla|??|Siksika|??|??|??
bnt|??|Bantu languages|??|??|??
bos|bs|Bosnian|Bosnian|14000|0.00474427831563209
bra|??|Braj|??|??|??
bre|br|Breton|Breton|16000|0.00542203236072239
btk|??|Batak languages|??|??|??
bua|??|Buriat|??|??|??
bug|??|Buginese|??|??|??
bul|bg|Bulgarian|Bulgarian|5487000|1.85941822270523
bur|my|Burmese|Burmese|15000|0.00508315533817724
bur|my|Burmese|Burmese|56000|0.0189771132625284
byn|??|Blin; Bilin|??|??|??
cad|??|Caddo|??|??|??
cai|??|Central American Indian languages|??|??|??
car|??|Galibi Carib|??|??|??
cat|ca|Catalan; Valencian|Catalan|1752000|0.593712543499102
cau|??|Caucasian languages|??|??|??
ceb|??|Cebuano|??|??|??
cel|??|Celtic languages|??|??|??
cha|ch|Chamorro|??|??|??
chb|??|Chibcha|??|??|??
che|ce|Chechen|??|??|??
chg|??|Chagatai|??|??|??
chi|zh|Chinese|Chinese (Simplified)|259000|0.0877691488391937
chi|zh|Chinese|Chinese (Traditional)|176000|0.0596423559679463
chk|??|Chuukese|??|??|??
chm|??|Mari|??|??|??
chn|??|Chinook jargon|??|??|??
cho|??|Choctaw|??|??|??
