abk|ab|Abkhazian|??|??|??
ace|??|Achinese|??|??|??
ach|??|Acoli|??|??|??
ada|??|Adangme|??|??|??
ady|??|Adyghe; Adygei|??|??|??
afa|??|Afro-Asiatic languages|??|??|??
afh|??|Afrihili|??|??|??
afr|af|Afrikaans|af|640000000.00|0.13
ain|??|Ainu|??|??|??
aka|ak|Akan|??|??|??
akk|??|Akkadian|??|??|??
alb|sq|Albanian|??|??|??
ale|??|Aleut|??|??|??
alg|??|Algonquian languages|??|??|??
alt|??|Southern Altai|??|??|??
amh|am|Amharic|??|??|??
ang|??|English, Old (ca.450-1100)|??|??|??
anp|??|Angika|??|??|??
apa|??|Apache languages|??|??|??
ara|ar|Arabic|ar|4770000000.00|0.97
arc|??|Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|??|??|??
arg|an|Aragonese|??|??|??
arm|hy|Armenian|hy|730000000.00|0.15
arn|??|Mapudungun; Mapuche|??|??|??
arp|??|Arapaho|??|??|??
art|??|Artificial languages|??|??|??
arw|??|Arawak|??|??|??
asm|as|Assamese|??|??|??
ast|??|Asturian; Bable; Leonese; Asturleonese|??|??|??
ath|??|Athapascan languages|??|??|??
aus|??|Australian languages|??|??|??
ava|av|Avaric|??|??|??
ave|ae|Avestan|??|??|??
awa|??|Awadhi|??|??|??
aym|ay|Aymara|??|??|??
aze|az|Azerbaijani|az|1420000000.00|0.29
bad|??|Banda languages|??|??|??
bai|??|Bamileke languages|??|??|??
bak|ba|Bashkir|ba|80000000.00|0.02
bal|??|Baluchi|??|??|??
bam|bm|Bambara|??|??|??
ban|??|Balinese|??|??|??
baq|eu|Basque|eu|4350000000.00|0.89
bas|??|Basa|??|??|??
bat|??|Baltic languages|??|??|??
bej|??|Beja; Bedawiyet|??|??|??
bel|be|Belarusian|be|5420000000.00|1.11
bem|??|Bemba|??|??|??
ben|bn|Bengali|bn|1870000000.00|0.38
ber|??|Berber languages|??|??|??
bho|??|Bhojpuri|??|??|??
bih|bh|Bihari languages|??|??|??
bik|??|Bikol|??|??|??
bin|??|Bini; Edo|??|??|??
bis|bi|Bislama|??|??|??
bla|??|Siksika|??|??|??
bnt|??|Bantu languages|??|??|??
bos|bs|Bosnian|??|??|??
bra|??|Braj|??|??|??
bre|br|Breton|??|??|??
btk|??|Batak languages|??|??|??
bua|??|Buriat|bxr|20000000.00|0.00
bug|??|Buginese|??|??|??
bul|bg|Bulgarian|bg|6530000000.00|1.33
bur|my|Burmese|my|2760000000.00|0.56
byn|??|Blin; Bilin|??|??|??
cad|??|Caddo|??|??|??
cai|??|Central American Indian languages|??|??|??
car|??|Galibi Carib|??|??|??
cat|ca|Catalan; Valencian|??|??|??
cau|??|Caucasian languages|??|??|??
ceb|??|Cebuano|??|??|??
cel|??|Celtic languages|??|??|??
cha|ch|Chamorro|??|??|??
chb|??|Chibcha|??|??|??
che|ce|Chechen|??|??|??
chg|??|Chagatai|??|??|??
chi|zh|Chinese|zh|8670000000.00|1.77
chk|??|Chuukese|??|??|??
chm|??|Mari|??|??|??
chn|??|Chinook jargon|??|??|??
cho|??|Choctaw|??|??|??
chp|??|Chipewyan; Dene Suline|??|??|??
chr|??|Cherokee|??|??|??
chu|cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|??|??|??
chv|cv|Chuvash|cv|20000000.00|0.00
chy|??|Cheyenne|??|??|??
cmc|??|Chamic languages|??|??|??
cnr|??|Montenegrin|??|??|??
cop|??|Coptic|??|??|??
cor|kw|Cornish|??|??|??
cos|co|Corsican|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??
cre|cr|Cree|??|??|??
crh|??|Crimean Tatar; Crimean Turkish|??|??|??
crp|??|Creoles and pidgins|??|??|??
csb|??|Kashubian|??|??|??
cus|??|Cushitic languages|??|??|??
cze|cs|Czech|??|??|??
dak|??|Dakota|??|??|??
dan|da|Danish|da|9510000000.00|1.94
