??|??|??|Bulgarian (Latin)|90000|0.001|0.29
??|??|??|Chinese (Latin)|200000|0.003|0.37
??|??|??|Greek (Latin)|400000|0.006|0.39
??|??|??|Hindi (Latin)|600000|0.010|0.43
??|??|??|Japanese (Latin)|300000|0.005|0.41
??|??|??|Russian (Latin)|900000|0.014|0.46
﻿aar|aa|Afar|??|??|??|??
abk|ab|Abkhazian|??|??|??|??
ave|ae|Avestan|??|??|??|??
afr|af|Afrikaans|Afrikaans|1700000|0.027|0.63
aka|ak|Akan|??|??|??|??
amh|am|Amharic|Amharic|300000|0.005|0.29
arg|an|Aragonese|??|??|??|??
ara|ar|Arabic|Arabic|57000000|0.909|1.66
asm|as|Assamese|??|??|??|??
ava|av|Avaric|??|??|??|??
aym|ay|Aymara|??|??|??|??
aze|az|Azerbaijani|Azerbaijani|4400000|0.070|0.82
bak|ba|Bashkir|??|??|??|??
bel|be|Belarusian|Belarusian|2000000|0.032|0.59
bul|bg|Bulgarian|Bulgarian|22000000|0.351|1.29
bih|bh|Bihari languages|??|??|??|??
bis|bi|Bislama|??|??|??|??
bam|bm|Bambara|??|??|??|??
ben|bn|Bengali|Bengali|7300000|0.116|0.91
tib|bo|Tibetan|??|??|??|??
bre|br|Breton|??|??|??|??
bos|bs|Bosnian|??|??|??|??
cat|ca|Catalan; Valencian|Catalan|13000000|0.207|1.12
che|ce|Chechen|??|??|??|??
cha|ch|Chamorro|??|??|??|??
cos|co|Corsican|Corsican|200000|0.003|0.40
cre|cr|Cree|??|??|??|??
cze|cs|Czech|Czech|63000000|1.005|1.72
chu|cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|??|??|??|??
chv|cv|Chuvash|??|??|??|??
wel|cy|Welsh|Welsh|4900000|0.078|0.76
dan|da|Danish|Danish|29000000|0.463|1.38
ger|de|German|German|347000000|5.535|3.05
div|dv|Divehi; Dhivehi; Maldivian|??|??|??|??
dzo|dz|Dzongkha|??|??|??|??
ewe|ee|Ewe|??|??|??|??
gre|el|Greek, Modern (1453-)|Greek|43000000|0.686|1.54
eng|en|English|English|2733000000|43.598|5.67
epo|eo|Esperanto|Esperanto|700000|0.011|0.40
spa|es|Spanish; Castilian|Spanish|433000000|6.907|3.09
est|et|Estonian|Estonian|6900000|0.110|0.89
baq|eu|Basque|Basque|1400000|0.022|0.57
per|fa|Persian|Persian|52000000|0.830|1.67
ful|ff|Fulah|??|??|??|??
fin|fi|Finnish|Finnish|25000000|0.399|1.35
fij|fj|Fijian|??|??|??|??
fao|fo|Faroese|??|??|??|??
fre|fr|French|French|318000000|5.073|2.89
fry|fy|Western Frisian|West Frisian|400000|0.006|0.51
gle|ga|Irish|Irish|500000|0.008|0.40
gla|gd|Gaelic; Scottish Gaelic|Scottish Gaelic|400000|0.006|0.35
glg|gl|Galician|Galician|2400000|0.038|0.79
grn|gn|Guarani|??|??|??|??
guj|gu|Gujarati|Gujarati|800000|0.013|0.43
glv|gv|Manx|??|??|??|??
hau|ha|Hausa|Hausa|200000|0.003|0.33
